"STATISTIC","Statistic Label","TLIST(A1)","Year","C03803V04563","NACE Sector of Payee","UNIT","VALUE"
"ETA06C01","Transport Taxes","2011","2011","01","Agriculture, forestry and fishing (01-03)","€m","3"
"ETA06C01","Transport Taxes","2011","2011","02","Industry (05-43)","€m","144"
"ETA06C01","Transport Taxes","2011","2011","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2011","2011","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2011","2011","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA06C01","Transport Taxes","2011","2011","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2011","2011","25","Metals, machinery and equipment (24-33)","€m","119"
"ETA06C01","Transport Taxes","2011","2011","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2011","2011","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2011","2011","28","Construction (41-43)","€m","22"
"ETA06C01","Transport Taxes","2011","2011","03","Services (45-96)","€m","193"
"ETA06C01","Transport Taxes","2011","2011","31","Wholesale and retail trade (45-47)","€m","24"
"ETA06C01","Transport Taxes","2011","2011","32","Transport, postal and warehousing (49-53)","€m","30"
"ETA06C01","Transport Taxes","2011","2011","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2011","2011","34","Information and computing (62-63)","€m","15"
"ETA06C01","Transport Taxes","2011","2011","35","Rental and leasing (77)","€m","80"
"ETA06C01","Transport Taxes","2011","2011","36","Public administration (84)","€m","9"
"ETA06C01","Transport Taxes","2011","2011","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","35"
"ETA06C01","Transport Taxes","2011","2011","04","Households and non-residents","€m","1109"
"ETA06C01","Transport Taxes","2012","2012","01","Agriculture, forestry and fishing (01-03)","€m","5"
"ETA06C01","Transport Taxes","2012","2012","02","Industry (05-43)","€m","169"
"ETA06C01","Transport Taxes","2012","2012","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2012","2012","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2012","2012","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA06C01","Transport Taxes","2012","2012","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2012","2012","25","Metals, machinery and equipment (24-33)","€m","151"
"ETA06C01","Transport Taxes","2012","2012","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2012","2012","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2012","2012","28","Construction (41-43)","€m","17"
"ETA06C01","Transport Taxes","2012","2012","03","Services (45-96)","€m","173"
"ETA06C01","Transport Taxes","2012","2012","31","Wholesale and retail trade (45-47)","€m","26"
"ETA06C01","Transport Taxes","2012","2012","32","Transport, postal and warehousing (49-53)","€m","25"
"ETA06C01","Transport Taxes","2012","2012","33","Accommodation and food (55-56)","€m","1"
"ETA06C01","Transport Taxes","2012","2012","34","Information and computing (62-63)","€m","13"
"ETA06C01","Transport Taxes","2012","2012","35","Rental and leasing (77)","€m","51"
"ETA06C01","Transport Taxes","2012","2012","36","Public administration (84)","€m","11"
"ETA06C01","Transport Taxes","2012","2012","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","47"
"ETA06C01","Transport Taxes","2012","2012","04","Households and non-residents","€m","1125"
"ETA06C01","Transport Taxes","2013","2013","01","Agriculture, forestry and fishing (01-03)","€m","4"
"ETA06C01","Transport Taxes","2013","2013","02","Industry (05-43)","€m","194"
"ETA06C01","Transport Taxes","2013","2013","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2013","2013","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2013","2013","23","Textiles and pharmaceuticals (13-21)","€m","2"
"ETA06C01","Transport Taxes","2013","2013","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2013","2013","25","Metals, machinery and equipment (24-33)","€m","177"
"ETA06C01","Transport Taxes","2013","2013","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2013","2013","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2013","2013","28","Construction (41-43)","€m","13"
"ETA06C01","Transport Taxes","2013","2013","03","Services (45-96)","€m","197"
"ETA06C01","Transport Taxes","2013","2013","31","Wholesale and retail trade (45-47)","€m","36"
"ETA06C01","Transport Taxes","2013","2013","32","Transport, postal and warehousing (49-53)","€m","51"
"ETA06C01","Transport Taxes","2013","2013","33","Accommodation and food (55-56)","€m","1"
"ETA06C01","Transport Taxes","2013","2013","34","Information and computing (62-63)","€m","14"
"ETA06C01","Transport Taxes","2013","2013","35","Rental and leasing (77)","€m","30"
"ETA06C01","Transport Taxes","2013","2013","36","Public administration (84)","€m","4"
"ETA06C01","Transport Taxes","2013","2013","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","62"
"ETA06C01","Transport Taxes","2013","2013","04","Households and non-residents","€m","1268"
"ETA06C01","Transport Taxes","2014","2014","01","Agriculture, forestry and fishing (01-03)","€m","6"
"ETA06C01","Transport Taxes","2014","2014","02","Industry (05-43)","€m","203"
"ETA06C01","Transport Taxes","2014","2014","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2014","2014","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2014","2014","23","Textiles and pharmaceuticals (13-21)","€m","2"
"ETA06C01","Transport Taxes","2014","2014","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2014","2014","25","Metals, machinery and equipment (24-33)","€m","184"
"ETA06C01","Transport Taxes","2014","2014","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2014","2014","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2014","2014","28","Construction (41-43)","€m","16"
"ETA06C01","Transport Taxes","2014","2014","03","Services (45-96)","€m","185"
"ETA06C01","Transport Taxes","2014","2014","31","Wholesale and retail trade (45-47)","€m","28"
"ETA06C01","Transport Taxes","2014","2014","32","Transport, postal and warehousing (49-53)","€m","48"
"ETA06C01","Transport Taxes","2014","2014","33","Accommodation and food (55-56)","€m","1"
"ETA06C01","Transport Taxes","2014","2014","34","Information and computing (62-63)","€m","14"
"ETA06C01","Transport Taxes","2014","2014","35","Rental and leasing (77)","€m","22"
"ETA06C01","Transport Taxes","2014","2014","36","Public administration (84)","€m","6"
"ETA06C01","Transport Taxes","2014","2014","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","66"
"ETA06C01","Transport Taxes","2014","2014","04","Households and non-residents","€m","1402"
"ETA06C01","Transport Taxes","2015","2015","01","Agriculture, forestry and fishing (01-03)","€m","7"
"ETA06C01","Transport Taxes","2015","2015","02","Industry (05-43)","€m","201"
"ETA06C01","Transport Taxes","2015","2015","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2015","2015","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2015","2015","23","Textiles and pharmaceuticals (13-21)","€m","2"
"ETA06C01","Transport Taxes","2015","2015","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2015","2015","25","Metals, machinery and equipment (24-33)","€m","182"
"ETA06C01","Transport Taxes","2015","2015","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2015","2015","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2015","2015","28","Construction (41-43)","€m","15"
"ETA06C01","Transport Taxes","2015","2015","03","Services (45-96)","€m","192"
"ETA06C01","Transport Taxes","2015","2015","31","Wholesale and retail trade (45-47)","€m","30"
"ETA06C01","Transport Taxes","2015","2015","32","Transport, postal and warehousing (49-53)","€m","54"
"ETA06C01","Transport Taxes","2015","2015","33","Accommodation and food (55-56)","€m","1"
"ETA06C01","Transport Taxes","2015","2015","34","Information and computing (62-63)","€m","20"
"ETA06C01","Transport Taxes","2015","2015","35","Rental and leasing (77)","€m","24"
"ETA06C01","Transport Taxes","2015","2015","36","Public administration (84)","€m","9"
"ETA06C01","Transport Taxes","2015","2015","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","55"
"ETA06C01","Transport Taxes","2015","2015","04","Households and non-residents","€m","1487"
"ETA06C01","Transport Taxes","2016","2016","01","Agriculture, forestry and fishing (01-03)","€m","9"
"ETA06C01","Transport Taxes","2016","2016","02","Industry (05-43)","€m","213"
"ETA06C01","Transport Taxes","2016","2016","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2016","2016","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2016","2016","23","Textiles and pharmaceuticals (13-21)","€m","2"
"ETA06C01","Transport Taxes","2016","2016","24","Plastic and non-metallic minerals (22-23)","€m","1"
"ETA06C01","Transport Taxes","2016","2016","25","Metals, machinery and equipment (24-33)","€m","195"
"ETA06C01","Transport Taxes","2016","2016","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2016","2016","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2016","2016","28","Construction (41-43)","€m","15"
"ETA06C01","Transport Taxes","2016","2016","03","Services (45-96)","€m","222"
"ETA06C01","Transport Taxes","2016","2016","31","Wholesale and retail trade (45-47)","€m","29"
"ETA06C01","Transport Taxes","2016","2016","32","Transport, postal and warehousing (49-53)","€m","51"
"ETA06C01","Transport Taxes","2016","2016","33","Accommodation and food (55-56)","€m","1"
"ETA06C01","Transport Taxes","2016","2016","34","Information and computing (62-63)","€m","38"
"ETA06C01","Transport Taxes","2016","2016","35","Rental and leasing (77)","€m","29"
"ETA06C01","Transport Taxes","2016","2016","36","Public administration (84)","€m","7"
"ETA06C01","Transport Taxes","2016","2016","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","66"
"ETA06C01","Transport Taxes","2016","2016","04","Households and non-residents","€m","1480"
"ETA06C01","Transport Taxes","2017","2017","01","Agriculture, forestry and fishing (01-03)","€m","7"
"ETA06C01","Transport Taxes","2017","2017","02","Industry (05-43)","€m","236"
"ETA06C01","Transport Taxes","2017","2017","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2017","2017","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2017","2017","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA06C01","Transport Taxes","2017","2017","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2017","2017","25","Metals, machinery and equipment (24-33)","€m","209"
"ETA06C01","Transport Taxes","2017","2017","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2017","2017","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2017","2017","28","Construction (41-43)","€m","25"
"ETA06C01","Transport Taxes","2017","2017","03","Services (45-96)","€m","236"
"ETA06C01","Transport Taxes","2017","2017","31","Wholesale and retail trade (45-47)","€m","14"
"ETA06C01","Transport Taxes","2017","2017","32","Transport, postal and warehousing (49-53)","€m","45"
"ETA06C01","Transport Taxes","2017","2017","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2017","2017","34","Information and computing (62-63)","€m","61"
"ETA06C01","Transport Taxes","2017","2017","35","Rental and leasing (77)","€m","44"
"ETA06C01","Transport Taxes","2017","2017","36","Public administration (84)","€m","12"
"ETA06C01","Transport Taxes","2017","2017","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","61"
"ETA06C01","Transport Taxes","2017","2017","04","Households and non-residents","€m","1450"
"ETA06C01","Transport Taxes","2018","2018","01","Agriculture, forestry and fishing (01-03)","€m","12"
"ETA06C01","Transport Taxes","2018","2018","02","Industry (05-43)","€m","208"
"ETA06C01","Transport Taxes","2018","2018","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2018","2018","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2018","2018","23","Textiles and pharmaceuticals (13-21)","€m","3"
"ETA06C01","Transport Taxes","2018","2018","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2018","2018","25","Metals, machinery and equipment (24-33)","€m","187"
"ETA06C01","Transport Taxes","2018","2018","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2018","2018","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2018","2018","28","Construction (41-43)","€m","18"
"ETA06C01","Transport Taxes","2018","2018","03","Services (45-96)","€m","243"
"ETA06C01","Transport Taxes","2018","2018","31","Wholesale and retail trade (45-47)","€m","56"
"ETA06C01","Transport Taxes","2018","2018","32","Transport, postal and warehousing (49-53)","€m","49"
"ETA06C01","Transport Taxes","2018","2018","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2018","2018","34","Information and computing (62-63)","€m","28"
"ETA06C01","Transport Taxes","2018","2018","35","Rental and leasing (77)","€m","50"
"ETA06C01","Transport Taxes","2018","2018","36","Public administration (84)","€m","9"
"ETA06C01","Transport Taxes","2018","2018","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","51"
"ETA06C01","Transport Taxes","2018","2018","04","Households and non-residents","€m","1455"
"ETA06C01","Transport Taxes","2019","2019","01","Agriculture, forestry and fishing (01-03)","€m","6"
"ETA06C01","Transport Taxes","2019","2019","02","Industry (05-43)","€m","199"
"ETA06C01","Transport Taxes","2019","2019","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2019","2019","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA06C01","Transport Taxes","2019","2019","23","Textiles and pharmaceuticals (13-21)","€m","3"
"ETA06C01","Transport Taxes","2019","2019","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2019","2019","25","Metals, machinery and equipment (24-33)","€m","179"
